turn number,turn,node number,decition time,move,
   0,white,       9627,   0.001737, White pawn from E2 to E3,
   1,black,      13708,   0.002912, Black pawn from G7 to G5,
   2,white,      31185,   0.006242, White knight from G1 to F3,
   3,black,      18075,   0.004125, Black pawn from F7 to F6,
   4,white,      40778,   0.008891, White pawn from H2 to H4,
   5,black,      86434,   0.020089, Black bishop from F8 to H6,
   6,white,    1025964,   0.247887, White pawn from G2 to G4,
   7,black,     339847,   0.086412, Black pawn from C7 to C6,
   8,white,    1439607,   0.362939, White bishop from F1 to G2,
   9,black,     390349,   0.102317, Black pawn from E7 to E5,
  10,white,   30063982,   8.058123, White pawn from H4 to H5,
  11,black,     133665,   0.036202, Black pawn from D7 to D6,
  12,white,    2501844,   0.657264, White knight from F3 to H2,
  13,black,     152831,   0.040594, Black king from E8 to F7,
  14,white,     339370,   0.088835, White queen from D1 to E2,
  15,black,     299693,   0.077829, Black queen from D8 to A5,
  16,white,     681909,   0.184639, White queen from E2 to F3,
  17,black,     714273,   0.187283, Black knight from B8 to D7,
  18,white,    1991778,   0.514105, White rook from H1 to G1,
  19,black,     709287,   0.187969, Black rook from A8 to B8,
  20,white,    1148990,   0.297747, White king from E1 to D1,
  21,black,     921789,   0.245704, Black king from F7 to E7,
  22,white,    2089110,   0.528130, White king from D1 to E2,
  23,black,    3294650,   0.858261, Black queen from A5 to A6,
  24,white,      56795,   0.014580, White king from E2 to D1,
  25,black,     639814,   0.177160, Black king from E7 to E8,
  26,white,    9324917,   2.452990, White bishop from G2 to F1,
  27,black,     489526,   0.131445, Black queen from A6 to B6,
  28,white,    2455931,   0.623200, White bishop from F1 to D3,
  29,black,     919221,   0.240552, Black knight from D7 to C5,
  30,white,   27135966,   7.372284, White bishop from D3 to E2,
  31,black,    1992142,   0.554402, Black knight from C5 to D7,
  32,white,    2298641,   0.584450, White queen from F3 to F5,
  33,black,    4410256,   1.175830, Black pawn from A7 to A5,
  34,white,    5687465,   1.463775, White queen from F5 to E6,
  35,black,      87491,   0.023441, Black king from E8 to D8,
  36,white,     807565,   0.203475, White queen from E6 to D6,
  37,black,    1483091,   0.391305, Black pawn from C6 to C5,
