turn number,turn,node number,decition time,move,
   0,white,     229210,   0.048376, White pawn from E2 to E3,
   1,black,     619549,   0.122350, Black pawn from G7 to G5,
   2,white,     792492,   0.176618, White knight from G1 to F3,
   3,black,    1068027,   0.242311, Black pawn from F7 to F6,
   4,white,     633273,   0.149062, White knight from F3 to G5,
   5,black,     219498,   0.052009, Black bishop from F8 to H6,
   6,white,     411034,   0.098000, White queen from D1 to H5,
   7,black,     117992,   0.028450, Black king from E8 to F8,
   8,white,    2823264,   0.686086, White queen from H5 to F7,
   9,black,          0,   0.000001,Checkmate,
