turn number,turn,node number,decition time,move,
   0,white,     229210,   0.048417, White pawn from E2 to E3,
   1,black,     619549,   0.122352, Black pawn from G7 to G5,
   2,white,     792492,   0.176646, White knight from G1 to F3,
   3,black,    1068027,   0.242261, Black pawn from F7 to F6,
   4,white,     633273,   0.149094, White knight from F3 to G5,
   5,black,     219498,   0.051971, Black bishop from F8 to H6,
   6,white,     411034,   0.098028, White queen from D1 to H5,
   7,black,     117992,   0.028422, Black king from E8 to F8,
   8,white,    2823264,   0.686328, White queen from H5 to F7,
   9,black,          0,   0.000001,Checkmate,
