turn number,turn,node number,decition time,move,
   0,white,        400,   0.000125, White pawn from E2 to E3,
   1,black,        668,   0.000178, Black pawn from G7 to G5,
   2,white,        729,   0.000196, White knight from G1 to F3,
   3,black,       1050,   0.000230, Black pawn from F7 to F6,
   4,white,        658,   0.000146, White pawn from H2 to H4,
   5,black,       4008,   0.000938, Black bishop from F8 to H6,
   6,white,       7876,   0.001980, White pawn from G2 to G4,
   7,black,      42049,   0.010353, Black pawn from C7 to C6,
   8,white,      13058,   0.003311, White bishop from F1 to G2,
   9,black,      32395,   0.008551, Black pawn from E7 to E5,
  10,white,      48890,   0.013061, White pawn from H4 to H5,
  11,black,       2726,   0.000723, Black pawn from D7 to D6,
  12,white,      34504,   0.009627, White knight from F3 to H2,
  13,black,       1523,   0.000387, Black king from E8 to F7,
  14,white,       4384,   0.001244, White queen from D1 to E2,
  15,black,       4258,   0.001020, Black queen from D8 to A5,
  16,white,       8441,   0.002469, White queen from E2 to F3,
  17,black,      64198,   0.017401, Black knight from B8 to D7,
  18,white,       8419,   0.002300, White rook from H1 to G1,
  19,black,      67470,   0.018059, Black rook from A8 to B8,
  20,white,      12453,   0.003416, White king from E1 to D1,
  21,black,      13486,   0.003474, Black king from F7 to E7,
  22,white,      19125,   0.005202, White king from D1 to E2,
  23,black,      17260,   0.004400, Black queen from A5 to A6,
  24,white,        195,   0.000073, White king from E2 to D1,
  25,black,      10654,   0.002761, Black king from E7 to E8,
  26,white,     104548,   0.029088, White bishop from G2 to F1,
  27,black,      12096,   0.003044, Black queen from A6 to B6,
  28,white,      29641,   0.007675, White bishop from F1 to D3,
  29,black,     420099,   0.110245, Black knight from D7 to C5,
  30,white,     134294,   0.038021, White bishop from D3 to E2,
  31,black,      71975,   0.019644, Black knight from C5 to D7,
  32,white,      31197,   0.008115, White queen from F3 to F5,
  33,black,     132912,   0.033297, Black pawn from A7 to A5,
  34,white,      59494,   0.015767, White knight from B1 to C3,
  35,black,      91520,   0.023271, Black knight from D7 to C5,
  36,white,    1646139,   0.449056, White queen from F5 to F3,
  37,black,     173658,   0.047294, Black pawn from A5 to A4,
