turn number,turn,node number,decition time,move,
 151,black,      14751,   0.003388,Black king from A7 to A6,
152,white,       2322,   0.000658,White queen from H4 to G3,
 153,black,       9915,   0.002263,Black knight from E5 to D7,
154,white,       9330,   0.001830,White queen from G3 to C7,
 155,black,       6609,   0.001606,Black knight from D7 to E5,
156,white,       6912,   0.001561,White queen from C7 to G7,
 157,black,       3486,   0.000872,Black knight from E5 to C6,
158,white,       4273,   0.000890,White king from D1 to D2,
 159,black,       3878,   0.001012,Black knight from C6 to A7,
160,white,       2310,   0.000518,White queen from G7 to C7,
 161,black,        730,   0.000227,Black knight from A7 to C6,
162,white,       2246,   0.000523,White queen from C7 to C6,
 163,black,        117,   0.000052,Black king from A6 to A7,
164,white,       1294,   0.000265,White queen from C6 to C7,
 165,black,        225,   0.000076,Black king from A7 to A8,
166,white,        526,   0.000116,White pawn from A4 to A5,
 167,black,          0,   0.000000,Stalemate,
