turn number,turn,node number,decition time,move,
0,white,        400,   0.000099,White pawn from E2 to E3,
   1,black,        668,   0.000153,Black pawn from G7 to G5,
2,white,        729,   0.000182,White knight from G1 to F3,
   3,black,       1050,   0.000254,Black pawn from F7 to F6,
4,white,        658,   0.000186,White pawn from H2 to H4,
   5,black,       4008,   0.000955,Black bishop from F8 to H6,
6,white,       7876,   0.002013,White pawn from G2 to G4,
   7,black,      42049,   0.010340,Black pawn from C7 to C6,
8,white,      13058,   0.003287,White bishop from F1 to G2,
   9,black,      32395,   0.008538,Black pawn from E7 to E5,
10,white,      48890,   0.013045,White pawn from H4 to H5,
  11,black,       2726,   0.000725,Black pawn from D7 to D6,
12,white,      34504,   0.009617,White knight from F3 to H2,
  13,black,       1523,   0.000388,Black king from E8 to F7,
14,white,       4384,   0.001235,White queen from D1 to E2,
  15,black,       4258,   0.001022,Black queen from D8 to A5,
16,white,       8441,   0.002460,White queen from E2 to F3,
  17,black,      64198,   0.017428,Black knight from B8 to D7,
18,white,       8419,   0.002299,White rook from H1 to G1,
  19,black,      67470,   0.018023,Black rook from A8 to B8,
20,white,      12453,   0.003388,White king from E1 to D1,
  21,black,      13486,   0.003452,Black king from F7 to E7,
22,white,      19125,   0.005160,White king from D1 to E2,
  23,black,      17260,   0.004376,Black queen from A5 to A6,
24,white,        195,   0.000073,White king from E2 to D1,
  25,black,      10654,   0.002762,Black king from E7 to E8,
26,white,     104548,   0.029066,White bishop from G2 to F1,
  27,black,      12096,   0.003057,Black queen from A6 to B6,
28,white,      29641,   0.007700,White bishop from F1 to D3,
  29,black,     420099,   0.110143,Black knight from D7 to C5,
30,white,     134294,   0.038034,White bishop from D3 to E2,
  31,black,      71975,   0.019607,Black knight from C5 to D7,
32,white,      31197,   0.008108,White queen from F3 to F5,
  33,black,     132912,   0.033284,Black pawn from A7 to A5,
34,white,      59494,   0.015771,White knight from B1 to C3,
  35,black,      91520,   0.023289,Black knight from D7 to C5,
36,white,    1646139,   0.448908,White queen from F5 to F3,
  37,black,     173658,   0.047250,Black pawn from A5 to A4,
38,white,     533394,   0.148300,White king from D1 to E1,
  39,black,    1141227,   0.309400,Black pawn from D6 to D5,
40,white,    3546003,   0.945832,White rook from G1 to G2,
  41,black,    5282315,   1.420438,Black king from E8 to E7,
42,white,     373607,   0.103067,White knight from H2 to F1,
  43,black,     255357,   0.069915,Black queen from B6 to A5,
44,white,     305546,   0.081180,White knight from F1 to G3,
  45,black,     387495,   0.103037,Black king from E7 to D8,
46,white,      85821,   0.023146,White pawn from D2 to D3,
  47,black,      10008,   0.002927,Black pawn from B7 to B6,
48,white,     148482,   0.038818,White pawn from E3 to E4,
  49,black,    9620253,   2.512782,Black bishop from C8 to B7,
50,white,     484122,   0.130406,White bishop from C1 to D2,
  51,black,     923924,   0.242640,Black pawn from D5 to E4,
52,white,     361218,   0.101207,White pawn from D3 to E4,
  53,black,      52798,   0.014680,Black knight from C5 to D7,
54,white,       3562,   0.001012,White king from E1 to D1,
  55,black,      11313,   0.003140,Black queen from A5 to A8,
56,white,       2379,   0.000709,White queen from F3 to D3,
  57,black,       6067,   0.001710,Black rook from B8 to C8,
58,white,       2464,   0.000741,White rook from G2 to G1,
  59,black,       6821,   0.001869,Black pawn from C6 to C5,
60,white,      60566,   0.015757,White knight from C3 to B5,
  61,black,      11933,   0.002964,Black rook from C8 to C6,
62,white,       5042,   0.001383,White king from D1 to C1,
  63,black,       3537,   0.000905,Black king from D8 to C8,
64,white,       6235,   0.001648,White rook from G1 to E1,
  65,black,       3345,   0.000897,Black knight from D7 to B8,
66,white,       4576,   0.001229,White pawn from B2 to B4,
  67,black,      14942,   0.004034,Black bishop from B7 to A6,
68,white,     236261,   0.061880,White knight from B5 to D6,
  69,black,      99672,   0.025399,Black king from C8 to C7,
70,white,     902841,   0.239954,White queen from D3 to D5,
  71,black,    5910663,   1.542885,Black knight from B8 to D7,
72,white,   18146277,   4.651441,White pawn from F2 to F3,
  73,black,   61302960,  15.067358,Black queen from A8 to F8,
74,white,  328136986,  80.255104,White pawn from B4 to C5,
  75,black,    7190530,   1.758432,Black bishop from A6 to E2,
76,white,   63236399,  15.323353,White rook from E1 to E2,
  77,black,      78798,   0.020241,Black rook from C6 to C5,
78,white,     142029,   0.034693,White knight from D6 to B5,
  79,black,       2701,   0.000717,Black king from C7 to D8,
80,white,      20635,   0.005021,White queen from D5 to A8,
  81,black,       1447,   0.000404,Black king from D8 to E7,
82,white,      37128,   0.008983,White queen from A8 to A4,
  83,black,       4310,   0.001145,Black queen from F8 to E8,
84,white,       9617,   0.002702,White pawn from A2 to A3,
  85,black,       6388,   0.001704,Black queen from E8 to F8,
86,white,       3838,   0.000981,White rook from A1 to A2,
  87,black,       4337,   0.001161,Black queen from F8 to B8,
88,white,       5548,   0.001421,White rook from A2 to A1,
  89,black,       5506,   0.001445,Black knight from D7 to F8,
90,white,       4017,   0.001033,White rook from E2 to E1,
  91,black,       5386,   0.001409,Black queen from B8 to E8,
92,white,       8742,   0.002346,White rook from A1 to B1,
  93,black,       6177,   0.001765,Black queen from E8 to C8,
94,white,       7135,   0.002090,White king from C1 to D1,
  95,black,       6665,   0.001843,Black queen from C8 to B8,
